problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
44928,192,5,51,0,0,192
45056,193,5,53,0,0,193
45184,193,4,51,0,0,193
45312,195,10,51,0,0,195
45440,203,9,52,0,0,203
45568,194,9,51,0,0,194
45696,195,4,51,0,0,195
45824,196,6,51,0,0,196
45952,199,5,51,0,0,199
46080,194,4,51,0,0,194
46208,198,2,51,0,0,198
46336,195,5,51,0,0,195
46464,198,7,51,0,0,198
46592,204,7,51,0,0,204
46720,200,7,51,0,0,200
46848,202,3,51,0,0,202
46976,200,7,51,0,0,200
47104,202,8,51,0,0,202
47232,210,11,51,0,0,210
47360,208,8,51,0,0,208
47488,206,9,51,0,0,206
47616,200,9,51,0,0,200
47744,203,8,51,0,0,203
47872,204,6,54,0,0,204
48000,204,6,54,0,0,204
48128,204,9,54,0,0,204
48256,206,9,55,0,0,206
48384,204,7,56,0,0,204
48512,214,4,56,0,0,214
48640,213,9,56,0,0,213
48768,213,6,58,0,0,213
48896,213,10,58,0,0,213
49024,212,11,59,0,0,212
49152,212,12,59,0,0,212
49280,208,5,59,0,0,208
49408,217,9,59,0,0,217
49536,218,10,59,0,0,218
49664,213,7,59,0,0,213
49792,212,4,59,0,0,212
49920,213,8,59,0,0,213
50048,220,12,59,0,0,220
50176,215,7,59,0,0,215
50304,218,2,59,0,0,218
50432,218,9,60,0,0,218
50560,219,8,59,0,0,219
50688,217,10,59,0,0,217
50816,235,10,59,0,0,235
50944,219,3,60,0,0,219
51072,224,13,59,0,0,224
51200,225,8,60,0,0,225
51328,225,8,60,0,0,225
51456,227,6,60,0,0,227
51584,224,12,60,0,0,224
51712,218,3,61,0,0,218
51840,232,9,60,0,0,232
51968,232,9,61,0,0,232
52096,223,5,61,0,0,223
52224,229,8,61,0,0,229
52352,227,10,61,0,0,227
52480,227,4,61,0,0,227
52608,234,6,61,0,0,234
52736,238,13,62,0,0,238
52864,234,4,61,0,0,234
52992,234,11,61,0,0,234
53120,237,4,61,0,0,237
53248,233,6,62,0,0,233
53376,233,3,62,0,0,233
53504,235,11,62,0,0,235
53632,234,12,62,0,0,234
53760,240,10,62,0,0,240
53888,232,9,62,0,0,232
54016,238,10,61,0,0,238
54144,242,2,61,0,0,242
54272,243,11,61,0,0,243
54400,235,3,62,0,0,235
54528,233,3,61,0,0,233
54656,247,12,62,0,0,247
54784,242,6,62,0,0,242
54912,250,11,61,0,0,250
55040,245,4,62,0,0,245
55168,245,12,63,0,0,245
55296,246,2,62,0,0,246
55424,242,6,64,0,0,242
55552,239,10,63,0,0,239
55680,242,3,66,0,0,242
55808,246,5,65,0,0,246
55936,256,12,66,0,0,256
56064,242,5,67,0,0,242
56192,258,14,69,0,0,258
56320,251,10,69,0,0,251
56448,252,7,70,0,0,252
56576,245,3,70,0,0,245
56704,252,12,70,0,0,252
56832,255,6,70,0,0,255
56960,253,5,69,0,0,253
57088,247,6,70,0,0,247
57216,251,7,70,0,0,251
57344,255,11,70,0,0,255
57472,255,8,70,0,0,255
57600,254,10,70,0,0,254
57728,250,3,70,1,0,250
57856,254,7,70,0,0,254
57984,254,4,70,0,0,254
58112,261,9,70,0,0,261
58240,258,9,70,0,0,258
58368,258,10,70,0,0,258
58496,261,12,70,0,0,261
58624,253,6,70,0,0,253
58752,257,3,71,0,0,257
58880,256,4,70,0,0,256
59008,260,9,71,0,0,260
59136,263,4,71,0,0,263
59264,269,6,71,0,0,269
59392,266,10,71,0,0,266
59520,256,7,71,0,0,256
59648,261,6,71,0,0,261
59776,266,14,72,0,0,266
59904,268,6,72,0,0,268
60032,272,11,72,0,0,272
60160,270,7,72,0,0,270
60288,262,5,72,0,0,262
60416,270,10,72,0,0,270
60544,268,4,72,0,0,268
60672,269,11,72,0,0,269
60800,267,10,72,0,0,267
60928,265,6,72,0,0,265
61056,267,13,72,0,0,267
61184,285,9,72,0,0,285
61312,274,8,72,0,0,274
61440,272,6,72,0,0,272
61568,272,6,72,0,0,272
61696,268,6,72,0,0,268
61824,265,3,72,0,0,265
61952,268,9,72,0,0,268
62080,267,11,72,0,0,267
62208,264,5,72,0,0,264
62336,273,15,72,0,0,273
62464,272,11,72,0,0,272
62592,274,11,72,0,0,274
62720,279,13,73,0,0,279
62848,274,2,73,0,0,274
62976,279,12,75,0,0,279
63104,271,9,75,0,0,271
63232,291,20,75,0,0,291
63360,277,11,76,0,0,277
63488,284,11,77,0,0,284
63616,275,9,76,0,0,275
63744,284,8,77,0,0,284
63872,279,13,79,0,0,279
64000,278,14,78,0,0,278
64128,274,6,80,0,0,274
64256,273,10,79,0,0,273
64384,269,9,79,0,0,269
64512,269,12,80,0,0,269
64640,279,9,79,0,0,279
64768,275,7,80,0,0,275
64896,276,11,80,0,0,276
65024,275,8,81,0,0,275
65152,273,9,81,0,0,273
65280,277,12,81,0,0,277
65408,273,9,81,0,0,273
65536,278,10,82,0,0,278
65664,274,7,81,0,0,274
65792,276,10,82,0,0,276
65920,271,3,82,0,0,271
66048,271,10,82,0,0,271
66176,270,10,82,0,0,270
66304,278,13,82,0,0,278
66432,272,16,82,0,0,272
66560,265,8,82,0,0,265
66688,278,10,82,0,0,278
66816,275,9,82,0,0,275
66944,275,6,82,0,0,275
67072,277,10,82,0,0,277
67200,277,4,82,0,0,277
67328,279,10,82,0,0,279
67456,271,10,82,0,0,271
67584,273,10,82,0,0,273
67712,274,10,82,0,0,274
67840,275,12,82,0,0,275
67968,270,10,82,0,0,270
68096,268,10,82,0,0,268
68224,285,11,82,0,0,285
68352,280,14,82,0,0,280
68480,282,8,82,0,0,282
68608,280,10,82,0,0,280
68736,284,14,82,0,0,284
68864,278,6,82,0,0,278
68992,283,8,82,0,0,283
69120,280,10,82,0,0,280
69248,280,14,82,0,0,280
69376,270,10,82,0,0,270
69504,270,10,82,0,0,270
69632,310,10,82,0,0,310
69760,289,3,82,0,0,289
69888,283,10,82,0,0,283
70016,284,9,82,0,0,284
70144,285,10,82,0,0,285
70272,280,10,82,0,0,280
70400,281,12,82,0,0,281
70528,276,10,83,0,0,276
70656,282,11,82,0,0,282
70784,277,11,82,0,0,277
70912,283,19,83,0,0,283
71040,297,19,85,0,0,297
71168,287,10,85,0,0,287
71296,292,19,83,0,0,292
71424,281,11,84,0,0,281
71552,288,19,83,0,0,288
71680,287,10,85,0,0,287
71808,289,10,86,0,0,289
71936,290,11,86,0,0,290
72064,292,14,88,0,0,292
72192,292,16,90,0,0,292
72320,283,9,90,0,0,283
72448,286,10,90,0,0,286
72576,291,5,91,0,0,291
72704,279,5,91,0,0,279
72832,293,19,91,0,0,293
72960,287,10,90,0,0,287
73088,283,11,92,0,0,283
73216,289,10,91,0,0,289
73344,293,10,92,0,0,293
73472,293,10,91,0,0,293
