total_energy, kinetic_energy, potential_energy
-34659.7,21367.3,-56027
-34551.1,21311.4,-55862.5
-34466.6,21242.9,-55709.5
-34356.1,21150.5,-55506.6
-34318.4,21045.7,-55364.2
-34300.3,20943.5,-55243.8
-34105.2,20819.1,-54924.3
-34020.4,20688.3,-54708.8
-34034.7,20532,-54566.8
-33945.2,20358.8,-54304
-33955.3,20206.2,-54161.5
-33925.7,20036.4,-53962.1
-33827.3,19848.6,-53675.9
-33739.7,19671.5,-53411.2
-33740.9,19548,-53288.9
-33768.3,19469.5,-53237.8
-33762.9,19432.1,-53195.1
-33830.1,19442.9,-53273
-33897.7,19460.8,-53358.5
-33860.5,19467.4,-53327.9
-33851.2,19480.6,-53331.9
-33892.6,19486.1,-53378.7
-33905.4,19506.2,-53411.6
-33848.3,19543.8,-53392.1
-33776.1,19559.1,-53335.2
-33741.1,19558.4,-53299.5
-33686.3,19577,-53263.3
-33758.4,19613.1,-53371.4
-33800.4,19717.4,-53517.8
-34040.5,19901.7,-53942.2
-34239.8,20153.4,-54393.2
-34530.3,20466.3,-54996.7
-34588,20822.5,-55410.6
-34818.2,21176.6,-55994.8
-34965.3,21500.4,-56465.7
-34898.2,21747.3,-56645.5
-34744.1,21852.7,-56596.8
-34626.3,21843.9,-56470.2
-34601,21808,-56409
-34584.6,21797.2,-56381.9
-34470.6,21775.9,-56246.5
-34531.2,21761.6,-56292.8
-34438.8,21684.5,-56123.3
-34164.6,21500.1,-55664.8
-34071.2,21260.2,-55331.4
-33899.7,21037.6,-54937.4
-33793.9,20812.4,-54606.3
-33654.7,20598,-54252.6
-33724.7,20429.6,-54154.3
-33783.3,20323,-54106.3
-33696.6,20258.5,-53955.1
-33728.3,20238.6,-53966.9
-33726.6,20262.2,-53988.8
-33778.9,20323.1,-54102
-33890.8,20375.3,-54266.1
-33880.9,20399,-54279.9
-33762.4,20390,-54152.4
-33729.5,20335.3,-54064.8
-33767.3,20264.1,-54031.4
-33761.9,20179.6,-53941.6
-33678.7,20083,-53761.7
-33659.4,19960.7,-53620
-33589.8,19824.5,-53414.3
-33564.8,19690,-53254.8
-33548.4,19560.4,-53108.8
-33626.3,19456.4,-53082.8
-33670.3,19414.7,-53085
-33752.8,19371,-53123.9
-33712.3,19317.9,-53030.2
-33635.7,19262.4,-52898.1
-33716.5,19219.7,-52936.3
-33718.2,19203.2,-52921.3
-33717,19210.2,-52927.1
-33767.4,19239.8,-53007.2
-33759.4,19270.6,-53030
-33724.7,19261.4,-52986.2
-33621.9,19238.2,-52860.1
-33603.2,19221.6,-52824.8
-33561.1,19221.1,-52782.2
-33619.1,19282.3,-52901.4
-33633.8,19385.9,-53019.7
-33656,19509.9,-53165.9
-33734.7,19608.2,-53342.9
-33640.7,19644.6,-53285.3
-33485,19587.8,-53072.8
-33266.3,19430.5,-52696.8
-33198.8,19237.3,-52436.1
-33126.3,19046.3,-52172.7
-33096.3,18881.4,-51977.6
-33112.1,18787.1,-51899.2
-33210.2,18737.3,-51947.4
-33250.9,18737.6,-51988.5
-33369.9,18796.4,-52166.3
-33491.7,18917.3,-52409
-33539,19071.7,-52610.7
-33651.3,19248.9,-52900.2
-33719.5,19428.6,-53148.1
-33861.3,19632.9,-53494.2
-33950.9,19819.5,-53770.4
-34109,19987.6,-54096.6
-34221.1,20113.1,-54334.2
-34166.9,20180.5,-54347.4
-33972.4,20187.4,-54159.9
-33726.5,20063.3,-53789.8
-33636.6,19865.9,-53502.5
-33460,19677.2,-53137.2
-33323.9,19488.4,-52812.3
-33311.6,19326.1,-52637.6
-33264.8,19191.3,-52456
-33252.3,19088,-52340.3
-33214.7,19000.3,-52215
-33167.4,18909.4,-52076.8
-33111.1,18819.9,-51931
-33102.4,18747.9,-51850.2
-33274.6,18677.1,-51951.8
-33266.4,18640.5,-51906.8
-33293,18596.4,-51889.3
-33101.2,18530,-51631.2
-33086.9,18450.2,-51537.1
-33163.4,18370.5,-51533.9
-33185,18286.9,-51471.9
-33302.2,18246,-51548.2
-33320.2,18246.5,-51566.7
-33370.7,18257.7,-51628.5
-33435.2,18295,-51730.2
-33374.7,18307.1,-51681.8
-33324.7,18281.5,-51606.2
-33195.3,18210.4,-51405.7
-33120.8,18157,-51277.8
-33087.4,18151.4,-51238.8
-33138.1,18213.7,-51351.9
-33210.7,18337.6,-51548.3
-33351.7,18513.4,-51865
-33531.5,18681.5,-52213
-33728.9,18862.3,-52591.2
-33755.7,19041.9,-52797.6
-33888.1,19186.9,-53075.1
-33759.7,19270.1,-53029.8
-33677.9,19273.6,-52951.5
-33587.4,19202.7,-52790.1
-33633.1,19097.9,-52731
-33704.6,18982,-52686.5
-33650.8,18843.1,-52494
-33501.7,18656.1,-52157.8
-33349,18462.5,-51811.5
-33266.1,18243.4,-51509.4
-33325.6,18035.1,-51360.7
-33149.8,17850.2,-51000
-33084.2,17680.5,-50764.7
-33034.2,17569.7,-50603.9
-33034.5,17510.8,-50545.3
-32994.5,17463.8,-50458.3
-32919.4,17398.1,-50317.5
-32917.2,17353.7,-50270.8
-32847.8,17324.9,-50172.7
-32820,17311.9,-50131.9
-32912.8,17318,-50230.8
-32867.1,17339.3,-50206.4
-32872.4,17385.6,-50257.9
-32935.8,17441.9,-50377.7
-32938.8,17523.4,-50462.2
-32973.3,17602.4,-50575.6
-32965.4,17703.9,-50669.3
-32991.8,17851.2,-50843
-33068.5,18046.9,-51115.5
-33257.1,18280.7,-51537.8
-33346.2,18587.5,-51933.7
-33514.2,18918.3,-52432.6
-33610.1,19249,-52859.1
-33731.8,19602.8,-53334.6
-33741.6,19925.5,-53667
-33663.5,20198.7,-53862.2
-33668.6,20421.8,-54090.4
-33563.3,20562.9,-54126.2
-33511.9,20654.4,-54166.3
-33579.8,20712.2,-54292
-33676,20739.2,-54415.2
-33448.7,20683.6,-54132.3
-33325.1,20569.8,-53894.9
-33263.6,20460.9,-53724.5
-33186.3,20344.1,-53530.4
-33108.6,20200.2,-53308.8
-33071.1,20027.3,-53098.3
-33008.7,19842.7,-52851.4
-32929.4,19668,-52597.4
-32841.5,19504.6,-52346.1
-32849,19374.3,-52223.4
-32934.1,19284.1,-52218.2
